source : http://www.insee.fr/fr/insee_regions/alsace/themes/tableaux/poptc02104.xls,,,,,,,,
,HOMMES,,,,FEMMES,,,
AGE,H67_2014,H68_2014,H_Alsace_2014,H_France_2014,F67_2014,F68_2014,F_Alsace_2014,F_France_2014
de 0 à 4 ans,32910,23112,56022,2045008,30950,22085,53035,1957713
de 5 à 9 ans,33413,23646,57059,2097644,32056,22773,54829,2004958
de 10 à 14 ans,33978,23876,57854,2102529,31932,22942,54874,2007711
de 15 à 19 ans,34961,22377,57338,2024995,33811,21228,55039,1931029
de 20 à 24 ans,37184,20263,57447,1944996,38420,19475,57895,1912619
de 25 à 29 ans,34498,21910,56408,1952208,35370,22748,58118,2004024
de 30 à 34 ans,35252,23392,58644,2026229,36787,24532,61319,2094673
de 35 à 39 ans,33904,23230,57134,2016402,34524,23364,57888,2050463
de 40 à 44 ans,39608,27510,67118,2272151,39490,27213,66703,2305984
de 45 à 49 ans,40638,28125,68763,2228410,39683,27908,67591,2291481
de 50 à 54 ans,38663,27192,65855,2162569,39796,27431,67227,2255310
de 55 à 59 ans,36349,25682,62031,2031088,37942,26529,64471,2162886
de 60 à 64 ans,33310,24124,57434,1955708,34331,24470,58801,2122299
de 65 à 69 ans,24293,18001,42294,1648385,25772,18737,44509,1819336
de 70 à 74 ans,19258,13781,33039,1103844,21531,15222,36753,1291999
de 75 à 79 ans,15314,11134,26448,954317,20274,14689,34963,1267746
de 80 à 84 ans,10600,8136,18736,724959,17427,12935,30362,1142387
de 85 à 89 ans,5303,4000,9303,405559,12176,8692,20868,809523
de 90 à 94 ans,1733,1373,3106,151995,5734,3799,9533,405341
de 95 ans ou plus,248,119,367,21654,993,602,1595,92562
