"","Code.région","Nom.de.la.région","Code.département","Code.arrondissement","Code.canton","Code.commune","Nom.de.la.commune","Population.municipale","Population.comptée.à.part","Population.totale"
"1",42,"Alsace",67,6,43,67001,"Achenheim",2043,36,2079
"2",42,"Alsace",67,4,6,67002,"Adamswiller",408,10,418
"3",42,"Alsace",67,5,32,67003,"Albé",467,11,478
"4",42,"Alsace",67,4,13,67004,"Allenwiller",526,7,533
"5",42,"Alsace",67,6,10,67005,"Alteckendorf",824,11,835
"6",42,"Alsace",67,4,21,67006,"Altenheim",214,5,219
"7",42,"Alsace",67,3,14,67008,"Altorf",1280,11,1291
"8",42,"Alsace",67,4,20,67009,"Altwiller",418,10,428
"9",42,"Alsace",67,5,1,67010,"Andlau",1799,75,1874
"10",42,"Alsace",67,5,12,67011,"Artolsheim",933,16,949
"11",42,"Alsace",67,7,26,67012,"Aschbach",677,15,692
"12",42,"Alsace",67,4,6,67013,"Asswiller",292,2,294
"13",42,"Alsace",67,2,3,67014,"Auenheim",898,6,904
"14",42,"Alsace",67,3,14,67016,"Avolsheim",726,10,736
"15",42,"Alsace",67,4,6,67017,"Baerendorf",320,6,326
"16",42,"Alsace",67,3,33,67018,"Balbronn",634,9,643
"17",42,"Alsace",67,5,12,67019,"Baldenheim",1145,20,1165
"18",42,"Alsace",67,3,23,67020,"Barembach",873,15,888
"19",42,"Alsace",67,5,1,67021,"Barr",7052,210,7262
"20",42,"Alsace",67,5,32,67022,"Bassemberg",261,9,270
"21",42,"Alsace",67,2,9,67023,"Batzendorf",954,20,974
"22",42,"Alsace",67,7,25,67025,"Beinheim",1873,27,1900
"23",42,"Alsace",67,3,23,67026,"Bellefosse",135,1,136
"24",42,"Alsace",67,3,23,67027,"Belmont",174,0,174
"25",42,"Alsace",67,5,2,67028,"Benfeld",5667,104,5771
"26",42,"Alsace",67,4,6,67029,"Berg",413,8,421
"27",42,"Alsace",67,3,33,67030,"Bergbieten",680,17,697
"28",42,"Alsace",67,5,16,67031,"Bernardswiller",1425,47,1472
"29",42,"Alsace",67,5,1,67032,"Bernardvillé",218,7,225
"30",42,"Alsace",67,6,5,67033,"Bernolsheim",615,6,621
"31",42,"Alsace",67,6,31,67034,"Berstett",2347,45,2392
"32",42,"Alsace",67,2,9,67035,"Berstheim",413,6,419
"33",42,"Alsace",67,7,26,67339,"Betschdorf",4100,55,4155
"34",42,"Alsace",67,4,6,67036,"Bettwiller",321,3,324
"35",42,"Alsace",67,7,35,67037,"Biblisheim",336,14,350
"36",42,"Alsace",67,6,5,67038,"Bietlenheim",285,2,287
"37",42,"Alsace",67,6,5,67039,"Bilwisheim",390,8,398
"38",42,"Alsace",67,5,12,67040,"Bindernheim",959,14,973
"39",42,"Alsace",67,4,13,67041,"Birkenwald",285,12,297
"40",42,"Alsace",67,6,44,67043,"Bischheim",17491,221,17712
"41",42,"Alsace",67,4,4,67044,"Bischholtz",279,5,284
"42",42,"Alsace",67,3,18,67045,"Bischoffsheim",3322,94,3416
"43",42,"Alsace",67,2,3,67046,"Bischwiller",12643,142,12785
"44",42,"Alsace",67,4,20,67047,"Bissert",159,0,159
"45",42,"Alsace",67,2,15,67048,"Bitschhoffen",449,10,459
"46",42,"Alsace",67,6,8,67049,"Blaesheim",1275,21,1296
"47",42,"Alsace",67,3,23,67050,"Blancherupt",38,0,38
"48",42,"Alsace",67,5,1,67051,"Blienschwiller",334,14,348
"49",42,"Alsace",67,3,18,67052,"Boersch",2420,47,2467
"50",42,"Alsace",67,5,12,67053,"Boesenbiesen",303,11,314
"51",42,"Alsace",67,5,7,67054,"Bolsenheim",463,4,467
"52",42,"Alsace",67,5,2,67055,"Boofzheim",1226,14,1240
"53",42,"Alsace",67,5,12,67056,"Bootzheim",680,9,689
"54",42,"Alsace",67,4,4,67057,"Bosselshausen",164,4,168
"55",42,"Alsace",67,6,10,67058,"Bossendorf",367,4,371
