Populations légales des communes en vigueur au 1er janvier 2015,,,,,,,,,
Mise à jour : décembre 2014,,,,,,,,,
en habitant,,,,,,,,,
"Champ : Département du Bas-Rhin, limites territoriales en vigueur au 1er janvier 2014",,,,,,,,,
Date de référence statistique : 1er janvier 2012,,,,,,,,,
Source :,"Insee, Recensement de la population 2012",,,,,,,,
,,,,,,,,,
Code région,Nom de la région,Code département,Code arrondissement,Code canton,Code commune,Nom de la commune,Population municipale,Population comptée à part,Population totale
42,Alsace,67,6,43,1,Achenheim,2043,36,2079
42,Alsace,67,4,6,2,Adamswiller,408,10,418
42,Alsace,67,5,32,3,Albé,467,11,478
42,Alsace,67,4,13,4,Allenwiller,526,7,533
42,Alsace,67,6,10,5,Alteckendorf,824,11,835
42,Alsace,67,4,21,6,Altenheim,214,5,219
42,Alsace,67,3,14,8,Altorf,1280,11,1291
42,Alsace,67,4,20,9,Altwiller,418,10,428
42,Alsace,67,5,1,10,Andlau,1799,75,1874
42,Alsace,67,5,12,11,Artolsheim,933,16,949
42,Alsace,67,7,26,12,Aschbach,677,15,692
42,Alsace,67,4,6,13,Asswiller,292,2,294
42,Alsace,67,2,3,14,Auenheim,898,6,904
42,Alsace,67,3,14,16,Avolsheim,726,10,736
42,Alsace,67,4,6,17,Baerendorf,320,6,326
42,Alsace,67,3,33,18,Balbronn,634,9,643
42,Alsace,67,5,12,19,Baldenheim,1145,20,1165
42,Alsace,67,3,23,20,Barembach,873,15,888
42,Alsace,67,5,1,21,Barr,7052,210,7262
42,Alsace,67,5,32,22,Bassemberg,261,9,270
42,Alsace,67,2,9,23,Batzendorf,954,20,974
42,Alsace,67,7,25,25,Beinheim,1873,27,1900
42,Alsace,67,3,23,26,Bellefosse,135,1,136
42,Alsace,67,3,23,27,Belmont,174,0,174
42,Alsace,67,5,2,28,Benfeld,5667,104,5771
42,Alsace,67,4,6,29,Berg,413,8,421
42,Alsace,67,3,33,30,Bergbieten,680,17,697
42,Alsace,67,5,16,31,Bernardswiller,1425,47,1472
42,Alsace,67,5,1,32,Bernardvillé,218,7,225
42,Alsace,67,6,5,33,Bernolsheim,615,6,621
42,Alsace,67,6,31,34,Berstett,2347,45,2392
42,Alsace,67,2,9,35,Berstheim,413,6,419
42,Alsace,67,7,26,339,Betschdorf,4100,55,4155
42,Alsace,67,4,6,36,Bettwiller,321,3,324
42,Alsace,67,7,35,37,Biblisheim,336,14,350
42,Alsace,67,6,5,38,Bietlenheim,285,2,287
42,Alsace,67,6,5,39,Bilwisheim,390,8,398
42,Alsace,67,5,12,40,Bindernheim,959,14,973
42,Alsace,67,4,13,41,Birkenwald,285,12,297
42,Alsace,67,6,44,43,Bischheim,17491,221,17712
42,Alsace,67,4,4,44,Bischholtz,279,5,284
42,Alsace,67,3,18,45,Bischoffsheim,3322,94,3416
42,Alsace,67,2,3,46,Bischwiller,12643,142,12785
42,Alsace,67,4,20,47,Bissert,159,0,159
42,Alsace,67,2,15,48,Bitschhoffen,449,10,459
42,Alsace,67,6,8,49,Blaesheim,1275,21,1296
42,Alsace,67,3,23,50,Blancherupt,38,0,38
42,Alsace,67,5,1,51,Blienschwiller,334,14,348
42,Alsace,67,3,18,52,Boersch,2420,47,2467
42,Alsace,67,5,12,53,Boesenbiesen,303,11,314
42,Alsace,67,5,7,54,Bolsenheim,463,4,467
42,Alsace,67,5,2,55,Boofzheim,1226,14,1240
42,Alsace,67,5,12,56,Bootzheim,680,9,689
42,Alsace,67,4,4,57,Bosselshausen,164,4,168
42,Alsace,67,6,10,58,Bossendorf,367,4,371
42,Alsace,67,3,19,59,Bourg-Bruche,440,6,446
42,Alsace,67,5,16,60,Bourgheim,562,5,567
42,Alsace,67,4,4,61,Bouxwiller,4017,105,4122
42,Alsace,67,5,32,62,Breitenau,312,9,321
42,Alsace,67,5,32,63,Breitenbach,693,15,708
42,Alsace,67,6,43,65,Breuschwickersheim,1281,10,1291
42,Alsace,67,3,23,66,La Broque,2812,130,2942
42,Alsace,67,6,5,67,Brumath,10072,120,10192
42,Alsace,67,7,25,69,Buhl,518,5,523
42,Alsace,67,4,6,70,Burbach,295,13,308
42,Alsace,67,4,6,71,Bust,443,8,451
42,Alsace,67,4,4,68,Buswiller,213,2,215
42,Alsace,67,4,20,72,Butten,663,7,670
42,Alsace,67,5,24,73,Châtenois,3992,90,4082
42,Alsace,67,7,34,74,Cleebourg,700,18,718
42,Alsace,67,7,34,75,Climbach,505,9,514
42,Alsace,67,3,19,76,Colroy-la-Roche,486,7,493
42,Alsace,67,3,33,77,Cosswiller,568,13,581
42,Alsace,67,4,13,78,Crastatt,228,3,231
42,Alsace,67,7,25,79,Croettwiller,172,4,176
42,Alsace,67,3,14,80,Dachstein,1702,34,1736
42,Alsace,67,3,33,81,Dahlenheim,765,13,778
42,Alsace,67,2,3,82,Dalhunden,1012,12,1024
42,Alsace,67,2,15,83,Dambach,795,13,808
42,Alsace,67,5,1,84,Dambach-la-Ville,2016,50,2066
42,Alsace,67,3,33,85,Dangolsheim,718,21,739
42,Alsace,67,5,7,86,Daubensand,366,10,376
42,Alsace,67,2,9,87,Dauendorf,1447,35,1482
42,Alsace,67,4,20,88,Dehlingen,369,9,378
42,Alsace,67,4,21,89,Dettwiller,2669,57,2726
42,Alsace,67,5,12,90,Diebolsheim,660,43,703
