Populations légales des communes en vigueur au 1er janvier 2015,,,,,,,,,
Mise à jour : décembre 2014,,,,,,,,,
en habitant,,,,,,,,,
"Champ : Département du Haut-Rhin, limites territoriales en vigueur au 1er janvier 2014",,,,,,,,,
Date de référence statistique : 1er janvier 2012,,,,,,,,,
Source :,"Insee, Recensement de la population 2012",,,,,,,,
,,,,,,,,,
Code région,Nom de la région,Code département,Code arrondissement,Code canton,Code commune,Nom de la commune,Population municipale,Population comptée à part,Population totale
42,Alsace,68,2,19,1,Algolsheim,1172,14,1186
42,Alsace,68,1,5,2,Altenach,375,8,383
42,Alsace,68,1,1,4,Altkirch,5747,179,5926
42,Alsace,68,5,12,5,Ammerschwihr,1773,63,1836
42,Alsace,68,1,5,6,Ammerzwiller,404,6,410
42,Alsace,68,2,2,7,Andolsheim,2240,79,2319
42,Alsace,68,2,19,8,Appenwihr,606,3,609
42,Alsace,68,2,2,9,Artzenheim,803,17,820
42,Alsace,68,1,1,10,Aspach,1131,33,1164
42,Alsace,68,6,3,11,Aspach-le-Bas,1302,40,1342
42,Alsace,68,6,25,12,Aspach-le-Haut,1472,44,1516
42,Alsace,68,4,11,13,Attenschwiller,917,19,936
42,Alsace,68,5,23,14,Aubure,355,12,367
42,Alsace,68,4,31,15,Baldersheim,2603,41,2644
42,Alsace,68,2,19,16,Balgau,934,14,948
42,Alsace,68,1,1,17,Ballersdorf,815,23,838
42,Alsace,68,1,5,18,Balschwiller,808,20,828
42,Alsace,68,2,2,19,Baltzenheim,586,8,594
42,Alsace,68,4,31,20,Bantzenheim,1641,33,1674
42,Alsace,68,4,13,21,Bartenheim,3806,58,3864
42,Alsace,68,4,31,22,Battenheim,1409,47,1456
42,Alsace,68,5,12,23,Beblenheim,984,25,1009
42,Alsace,68,1,5,24,Bellemagny,188,6,194
42,Alsace,68,1,7,25,Bendorf,223,6,229
42,Alsace,68,5,12,26,Bennwihr,1243,39,1282
42,Alsace,68,1,1,27,Berentzwiller,322,10,332
42,Alsace,68,5,20,28,Bergheim,1941,51,1992
42,Alsace,68,3,8,29,Bergholtz,1063,38,1101
42,Alsace,68,3,8,30,Bergholtzzell,450,8,458
42,Alsace,68,6,3,31,Bernwiller,658,13,671
42,Alsace,68,3,24,32,Berrwiller,1174,40,1214
42,Alsace,68,1,10,33,Bettendorf,478,15,493
42,Alsace,68,1,7,34,Bettlach,320,7,327
42,Alsace,68,1,7,35,Biederthal,278,13,291
42,Alsace,68,2,19,36,Biesheim,2506,38,2544
42,Alsace,68,3,6,37,Biltzheim,419,5,424
42,Alsace,68,2,2,38,Bischwihr,956,31,987
42,Alsace,68,1,10,39,Bisel,564,14,578
42,Alsace,68,6,25,40,Bitschwiller-lès-Thann,1991,49,2040
42,Alsace,68,3,6,41,Blodelsheim,1770,30,1800
42,Alsace,68,4,11,42,Blotzheim,4268,107,4375
42,Alsace,68,3,24,43,Bollwiller,3695,53,3748
42,Alsace,68,5,14,44,Le Bonhomme,812,30,842
42,Alsace,68,6,25,45,Bourbach-le-Bas,605,9,614
42,Alsace,68,6,15,46,Bourbach-le-Haut,416,10,426
42,Alsace,68,1,7,49,Bouxwiller,445,17,462
42,Alsace,68,1,5,50,Bréchaumont,423,3,426
42,Alsace,68,2,18,51,Breitenbach-Haut-Rhin,848,29,877
42,Alsace,68,1,5,52,Bretten,171,2,173
42,Alsace,68,4,13,54,Brinckheim,347,12,359
42,Alsace,68,4,17,55,Bruebach,1020,28,1048
42,Alsace,68,4,17,56,Brunstatt,6114,178,6292
42,Alsace,68,1,5,57,Buethwiller,261,4,265
42,Alsace,68,3,8,58,Buhl,3310,68,3378
42,Alsace,68,6,3,59,Burnhaupt-le-Bas,1826,48,1874
42,Alsace,68,6,3,60,Burnhaupt-le-Haut,1677,44,1721
42,Alsace,68,4,11,61,Buschwiller,1005,8,1013
42,Alsace,68,1,1,62,Carspach,2045,106,2151
42,Alsace,68,6,3,63,Cernay,11398,246,11644
42,Alsace,68,4,31,64,Chalampé,969,20,989
42,Alsace,68,1,5,65,Chavannes-sur-l'Étang,666,6,672
42,Alsace,68,2,98,66,Colmar,67257,1585,68842
42,Alsace,68,1,7,67,Courtavon,340,4,344
42,Alsace,68,1,5,68,Dannemarie,2311,40,2351
42,Alsace,68,2,19,69,Dessenheim,1277,26,1303
42,Alsace,68,4,17,70,Didenheim,1739,33,1772
42,Alsace,68,1,5,71,Diefmatten,288,2,290
42,Alsace,68,4,13,72,Dietwiller,1413,28,1441
42,Alsace,68,6,15,73,Dolleren,457,15,472
42,Alsace,68,1,7,74,Durlinsdorf,550,15,565
42,Alsace,68,1,7,75,Durmenach,899,21,920
42,Alsace,68,2,2,76,Durrenentzen,935,10,945
42,Alsace,68,1,1,77,Eglingen,363,7,370
42,Alsace,68,2,26,78,Eguisheim,1747,55,1802
42,Alsace,68,1,5,79,Elbach,256,6,262
42,Alsace,68,1,1,80,Emlingen,274,5,279
42,Alsace,68,3,6,82,Ensisheim,7336,101,7437
42,Alsace,68,2,18,83,Eschbach-au-Val,370,12,382
42,Alsace,68,4,9,84,Eschentzwiller,1499,43,1542
42,Alsace,68,1,5,85,Eteimbes,379,2,381
42,Alsace,68,1,5,86,Falkwiller,183,3,186
42,Alsace,68,1,10,87,Feldbach,461,13,474
42,Alsace,68,3,24,88,Feldkirch,934,17,951
